month	mode	avg
Jan	1.5	0.3
Feb	1.5	0.04
Mar	1.5	1.2
Apr	1.5	1.86
May	1.5	0.9
Jun	1.5	-0.12
Jul	4.5	1.53
Aug	1.5	-0.62
Sep	-4.5	-0.91
Oct	1.5	1.5
Nov	4.5	2.25
Dec	1.5	1.39
