month	mode	avg
Jan	2.0	0.3
Feb	4.0	0.04
Mar	2.0	1.2
Apr	2.0	1.86
May	2.0	0.9
Jun	0.0	-0.12
Jul	4.0	1.53
Aug	2.0	-0.62
Sep	2.0	-0.91
Oct	2.0	1.5
Nov	4.0	2.25
Dec	2.0	1.39
